Target_name,RA_1,Dec_1,source_id,ra_2,ra_error,dec_2,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_template_logg,rv_template_fe_h,phot_variable_flag,teff_val,a_g_val,GroupID,GroupSize,Separation
HV01345,10.16125,-73.220556,4688863797635493248,10.160829321536722,0.02482628772223119,-73.22064738918932,0.015845173022548596,-0.09464061507276446,0.02331563668757982,0.6069345726007154,-1.1727285961199074,14.646955,0.9641409,,,,,VARIABLE,5308.3335,,,,0.5471619147794831
HV01351,10.26625,-73.527778,4685841725497006976,10.266118918730646,0.020645369816862172,-73.52772164843869,0.01656601012114004,-0.07081047302652417,0.021085944331767827,0.6155689146461394,-1.108531198250883,14.595597,0.8686676,,,,,VARIABLE,5601.0,,,,0.2430193254288722
HV01365,10.454167,-73.728333,4685821418888717696,10.454511777728184,0.02760481161342783,-73.72838804477509,0.020504958857754878,-0.005032482824926787,0.027253416661330594,0.6519831827659386,-1.1110867037983754,14.92221,0.9930954,,,,,VARIABLE,5336.0,,,,0.4002679551979199
HV01373,10.874167,-73.002778,4688873349665959680,10.873664379314274,0.026052404270178634,-73.00249344441562,0.021444990715703542,-0.05718193331839388,0.025058256495812337,0.6682059660679183,-1.114596901083475,14.794835,1.0600948,,,,,VARIABLE,5090.925,,,,1.1529012919750026
HV01438,11.982083,-73.033333,4688951831595067136,11.98195650102938,0.029463067630378603,-73.03361388760821,0.018318038782504147,-0.08663725914878988,0.023736782907294387,0.6433423771890545,-1.1603694685056427,14.668458,1.0334406,,,,,VARIABLE,5192.775,,,,1.019890195914958
HV01553,13.011667,-73.2275,4685934355075602304,13.012046609643836,1.0562218414440085,-73.2274591349009,0.8568354160006634,,,,,18.776802,,,,,,NOT_AVAILABLE,,,,,0.42090840183740025
HV01682,14.087083,-73.3875,4685891375347648768,14.087117345256413,0.018926115749713666,-73.38721472041993,0.014911067212433831,-0.024302971704190858,0.018783248755412967,0.7550597010494371,-1.1513454300025683,14.579294,0.87122726,,,,,VARIABLE,5805.0,,,,1.0276146715906356
HV01695,14.157917,-72.286111,4689013782215848064,14.156776272204803,0.020915369381752275,-72.28583172311808,0.016558598005427583,-0.03847721476528747,0.020141454261859062,0.7368115842927798,-1.2043858409506536,14.46601,0.97760487,,,,,VARIABLE,5350.3335,,,,1.603773120373948
HV01744,14.437083,-72.273611,4689013266819712128,14.436576011924403,0.02085675195400221,-72.2735554367097,0.01688054259180369,-0.03616123572176403,0.019238571307606523,0.8017292711004302,-1.2115453335926087,14.485542,0.89800453,,,,,VARIABLE,5612.1,,,,0.5906135902976902
HV01873,15.445833,-72.486111,4687491508336023168,15.446389830378974,0.019474308538202385,-72.48625275082348,0.01662909716368618,-0.01317452398532523,0.02004762552657971,0.8534380900383864,-1.208859416121856,14.632129,0.9198189,,,,,VARIABLE,5427.0,,,,0.7901410895643581
HV01956,16.0625,-72.755556,4687423471738176512,16.064552600924014,0.022331730901735604,-72.75564024501698,0.018449563288761524,0.019288217141956672,0.02393297352143691,0.8646369251174999,-1.2112125818726964,12.097654,1.5330553,172.88381401134004,5.870664061034834,4.5,0.0,VARIABLE,4372.0,,,,2.2114588619706437
HV01996,16.4725,-72.845,4687412996328135808,16.472968771116037,0.021903139782513122,-72.8447737361301,0.017056211567351365,-0.050893242957850214,0.022366837468391607,0.729640543066062,-1.1434666630926285,14.953743,1.1184502,,,,,VARIABLE,4961.0,,,,0.954601109470418
HV02052,17.03,-73.057222,4687206975327099520,17.030393040458875,0.015935239436847153,-73.05751077809605,0.01235063400480851,0.0022063743681681475,0.014996075014740946,0.984688474165387,-1.323057929868543,14.090504,0.76584244,,,,,VARIABLE,5929.4,0.4157,,,1.1183875711214797
HV02088,17.119167,-71.415833,4690566979781567360,17.120472585828004,0.018678380483451884,-71.41539093649325,0.014907134636639112,0.010254596579807622,0.01870558748108272,0.7893129488557327,-1.1992005705611057,14.635448,1.0614195,,,,,VARIABLE,5245.008,,,,2.1855064273554734
HV02189,18.365833,-72.472778,4687447493500041600,18.365593441816166,0.022387474148446586,-72.47281987707527,0.01571410862797893,-0.02615728873290582,0.019002293297030882,1.1058947411842859,-1.1244419035128466,14.547826,0.9727869,,,,,VARIABLE,5381.0,,,,0.30030537696241816
